"Story","Title","Result","Date","Stability","Duration (s)"
"Register","POST - Register without fullname","SUCCESS","2023-05-29T14:58:20.4854821+07:00[Asia/Jakarta]","0.0","0.99"
"Register","POST - Register without email","SUCCESS","2023-05-29T14:58:21.7201383+07:00[Asia/Jakarta]","0.0","0.91"
"Register","POST - Register without password","SUCCESS","2023-05-29T14:58:22.9352913+07:00[Asia/Jakarta]","0.0","0.76"
"Login","POST - Login wrong password","SUCCESS","2023-05-29T14:58:27.7661907+07:00[Asia/Jakarta]","0.0","0.7"
"Login","POST - Login with empty email","SUCCESS","2023-05-29T14:58:28.5542933+07:00[Asia/Jakarta]","0.0","0.66"
"Login","POST - Login with empty password","SUCCESS","2023-05-29T14:58:29.2858832+07:00[Asia/Jakarta]","0.0","0.42"
"Login","POST - Login with empty body parameter","SUCCESS","2023-05-29T14:58:31.154618+07:00[Asia/Jakarta]","0.0","0.35"
"User Information","GET - Get user information without token","SUCCESS","2023-05-29T14:58:33.8544574+07:00[Asia/Jakarta]","0.0","0.42"
"Categories","POST - Add new category without name data payload","SUCCESS","2023-05-29T14:58:37.4654122+07:00[Asia/Jakarta]","0.0","0.91"
"Categories","GET - Get list all categories","SUCCESS","2023-05-29T14:58:38.684564+07:00[Asia/Jakarta]","0.0","0.88"
"Categories","GET - Get categories by ID","SUCCESS","2023-05-29T14:58:39.6162589+07:00[Asia/Jakarta]","0.0","0.57"
"Categories","DEL - Delete category with ID","SUCCESS","2023-05-29T14:58:40.3173442+07:00[Asia/Jakarta]","0.0","0.46"
"Categories","DEL - Delete category with invalid ID","SUCCESS","2023-05-29T14:58:40.8069094+07:00[Asia/Jakarta]","0.0","0.57"
"Product","POST - Add new product without fill name","SUCCESS","2023-05-29T14:58:42.782655+07:00[Asia/Jakarta]","0.0","0.59"
"Product","POST - Add new product without fill description","SUCCESS","2023-05-29T14:58:43.4992442+07:00[Asia/Jakarta]","0.0","0.51"
"Product","POST - Add new product without fill price","SUCCESS","2023-05-29T14:58:44.0463145+07:00[Asia/Jakarta]","0.0","0.56"
"Product","GET - Get product by ID","SUCCESS","2023-05-29T14:58:44.7183994+07:00[Asia/Jakarta]","0.0","0.74"
"Product","GET - Get product by invalid ID","SUCCESS","2023-05-29T14:58:46.1775837+07:00[Asia/Jakarta]","0.0","0.44"
"Order","GET - Get all order without login","SUCCESS","2023-05-29T14:58:48.014812+07:00[Asia/Jakarta]","0.0","0.38"
"Rating","GET - Get product rating","SUCCESS","2023-05-29T14:58:50.2153649+07:00[Asia/Jakarta]","0.0","0.46"
"Rating","GET - Get product rating with invalid data","SUCCESS","2023-05-29T14:58:50.7524308+07:00[Asia/Jakarta]","0.0","0.59"
"Comment","GET - Get comment with correct endpoints","SUCCESS","2023-05-29T14:58:51.9800869+07:00[Asia/Jakarta]","0.0","0.53"
"Comment","Get comment with incorrect endpoints","SUCCESS","2023-05-29T14:58:52.5347855+07:00[Asia/Jakarta]","0.0","0.38"
