"Story","Title","Result","Date","Stability","Duration (s)"
"Add Stock Credit And Data","As a user, I have successfully added stock credit","SUCCESS","2023-06-25T16:12:41.141+07:00[Asia/Bangkok]","0.0","92.82"
"Add Stock Credit And Data","As a user, I have successfully added stock data","SUCCESS","2023-06-25T16:14:23.837+07:00[Asia/Bangkok]","0.0","18.22"
"Customer Data Search","As a user, I have successfully searched the customer data","SUCCESS","2023-06-25T16:14:44.042+07:00[Asia/Bangkok]","0.0","14.95"
"Customer Transaction View","As a user, I have successfully view the customer transaction","SUCCESS","2023-06-25T16:15:01.553+07:00[Asia/Bangkok]","0.0","18.76"
"Edit Profile and change password","As a user, I have successfully changed profile","SUCCESS","2023-06-25T16:15:23.194+07:00[Asia/Bangkok]","0.0","15.33"
"Sign Out","As user, I have be able to sign out","SUCCESS","2023-06-25T16:15:45.005+07:00[Asia/Bangkok]","0.0","15.74"
"User be able to sign in","As user, I have be able to success login","SUCCESS","2023-06-25T16:16:05.345+07:00[Asia/Bangkok]","0.0","16.61"
"User be able to sign in","As user, I have be able to failed login because account not registered","SUCCESS","2023-06-25T16:16:25.568+07:00[Asia/Bangkok]","0.0","20.93"
"User be able to sign in","As user, I have be able to failed login because wrong email","SUCCESS","2023-06-25T16:16:51.874+07:00[Asia/Bangkok]","0.0","25.68"
"User be able to sign in","As user, I have be able to failed login because wrong password","SUCCESS","2023-06-25T16:17:23.133+07:00[Asia/Bangkok]","0.0","21.68"
"User be able to sign in","As user, I have be able to failed sign in because email and password field empty","SUCCESS","2023-06-25T16:17:50.255+07:00[Asia/Bangkok]","0.0","28.47"
"Stock Cashout View","As a user, I have successfully view the Stock Cashout","SUCCESS","2023-06-25T16:18:23.437+07:00[Asia/Bangkok]","0.0","45.35"
